"Sample","AMGR","AMMA","ANBO","PSRE","RAAU","RACA","TAGR"
"Lentic1_1996",1,0,0,0,0,0,1
"Lentic1_1999",1,0,1,0,0,1,0
"Lentic1_2002",1,1,0,1,0,1,0
"Lentic1_2010",1,0,0,0,0,1,0
"Lentic10_1992",0,0,0,0,0,1,0
"Lentic10_1996",0,0,0,1,0,1,0
"Lentic10_2002",0,1,0,1,0,1,0
"Lentic10_2009",0,0,0,0,0,1,0
"Lentic100_1997",1,0,0,0,0,1,0
"Lentic100_1998",1,0,0,0,0,1,0
"Lentic101_1997",1,0,0,0,0,1,1
"Lentic101_1998",1,0,0,0,0,1,1
"Lentic102_1991",0,0,0,1,0,0,0
"Lentic103_1991",1,0,0,1,1,0,1
"Lentic103_1992",1,1,0,1,1,0,1
"Lentic103_1993",1,0,0,1,1,0,1
"Lentic103_1998",1,1,0,1,0,1,0
"Lentic103_2002",1,1,0,1,1,0,1
"Lentic105_1991",1,0,0,0,0,0,1
"Lentic105_1992",1,1,0,1,0,1,1
"Lentic105_1993",1,1,1,1,1,0,1
"Lentic105_1998",1,0,0,1,0,1,1
"Lentic105_2002",1,1,1,1,0,0,1
"Lentic105_2010",1,0,0,1,0,0,0
"Lentic105_2011",1,0,0,1,0,0,0
"Lentic105_2012",1,0,0,1,1,0,0
"Lentic105_2013",1,0,0,1,1,0,0
"Lentic105_2014",1,0,0,1,0,1,0
"Lentic105_2015",0,0,0,1,0,0,0
"Lentic107_1998",1,0,0,0,0,1,0
"Lentic107_2009",1,0,0,0,0,1,0
"Lentic108_2003",1,0,0,0,0,1,0
"Lentic109_2003",1,0,0,0,0,1,0
"Lentic11_1992",0,0,0,0,0,1,0
"Lentic11_1996",1,0,0,0,0,0,0
"Lentic11_2002",1,0,0,0,0,0,0
"Lentic110_2003",0,0,0,0,0,1,0
"Lentic111_1998",1,0,0,0,0,1,1
"Lentic111_2003",1,1,0,0,0,1,1
"Lentic111_2010",1,0,0,0,0,1,0
"Lentic111_2012",1,1,1,1,0,1,1
"Lentic111_2013",1,0,0,0,0,1,0
"Lentic111_2014",1,0,1,0,0,1,0
"Lentic111_2015",1,0,0,0,0,1,0
"Lentic112_2003",0,1,0,0,0,1,0
"Lentic113_1998",1,0,0,0,0,1,1
"Lentic113_2012",1,0,0,0,0,1,1
"Lentic114_2012",1,0,0,1,0,1,1
"Lentic115_1998",1,0,0,0,0,1,1
"Lentic115_1999",1,0,0,0,0,1,0
"Lentic115_2003",1,1,1,0,0,1,0
"Lentic115_2004",0,0,0,1,0,0,0
"Lentic115_2010",1,0,0,1,0,1,1
"Lentic115_2011",1,0,0,1,1,1,1
"Lentic115_2012",1,0,0,0,0,1,1
"Lentic115_2014",1,0,0,0,0,1,1
"Lentic116_1998",1,0,0,0,0,1,0
"Lentic116_2009",1,0,0,0,0,1,0
"Lentic116_2011",0,0,0,0,0,1,0
"Lentic117_2015",1,0,0,0,0,1,0
"Lentic118_1997",0,0,0,0,0,1,0
"Lentic118_1998",0,1,0,0,0,1,0
"Lentic119_1997",0,0,0,0,0,1,0
"Lentic119_2002",0,0,0,0,0,1,0
"Lentic12_2002",1,0,0,0,0,0,0
"Lentic120_1998",1,0,0,0,0,1,0
"Lentic120_2009",0,0,0,0,0,1,0
"Lentic121_1998",1,1,0,0,0,1,1
"Lentic121_2009",1,0,0,0,0,1,0
