"Sample","PRISM_ppt","PRISM_tmax","PRISM_tmean","PRISM_tmin"
"Lentic1_1996",2520.5,9.208499908,4.796458244,0.38441667
"Lentic1_1999",2126.590088,9.856332779,5.375208378,0.894083381
"Lentic1_2002",1577.01001,9.907917023,5.532708645,1.157500029
"Lentic1_2010",1986.089966,9.677000046,5.874374866,2.071749926
"Lentic10_1992",2138.560059,9.52325058,5.13316679,0.743083358
"Lentic10_1996",3128.659912,8.002249718,3.706624985,-0.589000046
"Lentic10_2002",2073.369873,8.826583862,4.513041496,0.199499995
"Lentic10_2009",2383.23999,9.128333092,5.006374836,0.88441664
"Lentic100_1997",2422.76001,10.52050018,5.880291939,1.240083337
"Lentic100_1998",2179.850098,11.04049969,6.443541527,1.846583366
"Lentic101_1997",2422.76001,10.52050018,5.880291939,1.240083337
"Lentic101_1998",2179.850098,11.04049969,6.443541527,1.846583366
"Lentic102_1991",1982.880005,10.88983345,6.17383337,1.45783329
"Lentic103_1991",2016.609985,11.69674969,6.575541973,1.454333305
"Lentic103_1992",1695.469971,12.78591633,7.483958721,2.18200016
"Lentic103_1993",1277.27002,10.80466652,5.75620842,0.707750022
"Lentic103_1998",2238.630127,11.99849987,6.963416576,1.928333282
"Lentic103_2002",1707.719971,11.90674973,6.499333382,1.09191668
"Lentic105_1991",2016.609985,11.69674969,6.575541973,1.454333305
"Lentic105_1992",1695.469971,12.78591633,7.483958721,2.18200016
"Lentic105_1993",1277.27002,10.80466652,5.75620842,0.707750022
"Lentic105_1998",2238.630127,11.99849987,6.963416576,1.928333282
"Lentic105_2002",1707.719971,11.90674973,6.499333382,1.09191668
"Lentic105_2010",2074.199951,11.48483276,6.988833427,2.492833376
"Lentic105_2011",2071.830078,10.71516609,6.163916588,1.612666726
"Lentic105_2012",2520.120117,11.60391617,6.954208374,2.304500103
"Lentic105_2013",1576.119995,12.29916668,7.451250076,2.603333235
"Lentic105_2014",2425.899902,12.69666672,7.851666927,3.00666666
"Lentic105_2015",2129.958984,13.5890007,8.716000557,3.844000101
"Lentic107_1998",2039.959961,11.88966656,6.780125141,1.670583367
"Lentic107_2009",1682.01001,11.69533348,6.605791569,1.516250014
"Lentic108_2003",2155.02002,10.83224964,5.961541653,1.090833306
"Lentic109_2003",2155.02002,10.83224964,5.961541653,1.090833306
